userid,nodeid,group,label,date_start,date_end,formatted,latitude,longitude,placeid,street_address,route,intersection,political,country,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,administrative_area_level_5,colloquial_area,locality,ward,sublocality,neighborhood,premise,subpremise,postal_code,natural_feature,airport,park,point_of_interest,floor,establishment,parking,post_box,postal_town,room,street_number,bus_station,train_station,transit_station,last_updated,last_retrieved
227350ae-26b5-4257-88ed-ac04f7528591,46f9a9f6-980f-411a-b481-10eb9de36f71,person,"NOGENT-SUR-MARNE, FRANCE",,,"Nogent-sur-Marne, France",48.8376312,2.481699,ChIJt5RRyGsN5kcRkDiLaMOCCwQ,,,,,France,Île-de-France,Val-de-Marne,,,,,Nogent-sur-Marne,,,,,,,,,,,,,,,,,,,,,6/20/2016 22:43,10/24/2016
227350ae-26b5-4257-88ed-ac04f7528591,8c09a158-35a0-4a1e-96b7-ff0d46e45b74,location,JDEIDEH GOUVERNORAT DU MONTLIBAN LIBAN,,,"Jdeideh, Liban",33.8918991,35.5630417,ChIJcZcEdvM9HxURNmsbWv1FVRg,,,,,Liban,Gouvernorat du Mont-Liban,Metn,Jdeideh,,,,,,,,,,,,,,,,,,,,,,,,,6/20/2016 22:43,10/24/2016
2339b0c4-fe96-4b64-a9ee-22183d2ed0ae,35146083-b7b2-4ca4-a6ff-840588fcc17b,person,"BEIRUT, LEBANON",,,"Beirut, Lebanon",33.8937912,35.5017776,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,,,,,Beirut,,,,,,,,,,,,,,,,,,,,,7/14/2016 9:46,10/24/2016
2341f249-cddc-424f-9304-90f41927a4b0,797117e3-93a6-4e05-bdb8-e1c2a8d6aae1,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/11/2016 15:10,10/24/2016
23d19ac0-998b-45ef-bac7-d80109da8fdd,d0b10ba4-eae0-45f9-9685-b2ba559bc316,person,"BEIRUT, LEBANON",,,"Beirut, Lebanon",33.8937912,35.5017776,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,,,,,Beirut,,,,,,,,,,,,,,,,,,,,,7/4/2016 18:12,10/24/2016
23d19ac0-998b-45ef-bac7-d80109da8fdd,b6e79d72-ec4f-43b1-b903-980626ae3ffe,location,BERYTECH DIGITAL PARK BEIRUT LEBANON,,,"Bachoura, Beirut, Lebanon",33.8903122,35.5062675,ChIJZ2RgD-IWHxURXweF1MD4L7Y,,,,,Lebanon,Beirut,Beirut,Bachoura,,,,Beirut,,,,,,,,,,,,,,,,,,,,,7/4/2016 18:12,10/24/2016
2532f60c-4298-4f4f-9baf-6c0d36720020,2d04fff2-2a3f-437e-b449-5fd899561bc0,person,"SIDON DISTRICT, SOUTH, LEBANON",,,"Sidon District, Lebanon",33.5626106,35.3687286,ChIJl4Ue9T_wHhURhhD_ueNBHhg,,,,,Lebanon,South,Saida,Saida,,,,Sidon District,,,,,,,,,,,,,,,,,,,,,6/6/2016 12:32,10/24/2016
25f34aa8-94f5-4e76-9c82-caf2c4f69c25,72336bcb-6791-4f5d-a8be-6ec8c34cfa9b,location,SEOUL SOUTH KOREA,,,"Seoul, South Korea",37.5665359,100,ChIJzWXFYYuifDUR64Pq5LTtioU,,,,,South Korea,,,,,,,Seoul,,,,,,,,,,,,,,,,,,,,,8/2/2016 14:01,10/24/2016
2629e5a4-ffbb-4c04-8da2-46932180dc38,a40696e0-bb8c-4e7d-b068-fb649e846f97,organization,BEIRUT LEBANON,4/1/2008,9/1/2012,"Beirut, Lebanon",33.8937912,35.5017776,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,,,,,Beirut,,,,,,,,,,,,,,,,,,,,,7/27/2016 7:54,10/24/2016
2629e5a4-ffbb-4c04-8da2-46932180dc38,70d71522-bab1-4048-be67-157a7264778f,location,DUBAI UNITED ARAB EMIRATES,,,Dubai - United Arab Emirates,25.2048492,55.2707825,ChIJRcbZaklDXz4RYlEphFBu5r0,,,,,United Arab Emirates,Dubai,,,,,,Dubai,,,,,,,,,,,,,,,,,,,,,7/27/2016 7:54,10/24/2016
